"gender","height","weight","bmi"
"Male",174,96,0.00317082837891399
"Male",189,87,0.0024355421180818
"Female",185,110,0.00321402483564646
"Female",195,104,0.00273504273504274
"Male",149,61,0.00274762398090176
"Male",189,104,0.00291145264690238
"Male",147,92,0.00425748530704799
"Male",154,111,0.00468038455051442
"Male",174,90,0.00297265160523187
"Female",169,103,0.00360631630545149
"Male",195,81,0.0021301775147929
"Female",159,80,0.0031644317867173
"Female",192,101,0.00273980034722222
"Male",155,51,0.00212278876170656
"Male",191,79,0.0021655108138483
"Female",153,107,0.00457089153744286
"Female",157,110,0.00446265568582904
"Male",140,129,0.00658163265306122
"Male",144,145,0.00699266975308642
"Male",172,139,0.00469848566792861
"Male",157,110,0.00446265568582904
"Female",153,149,0.00636507326242044
"Female",169,97,0.00339623962746402
"Male",185,139,0.00406135865595325
"Female",172,67,0.00226473769605192
"Female",151,64,0.00280689443445463
"Male",190,95,0.00263157894736842
"Male",187,62,0.00177299894191999
"Female",163,159,0.00598441793067108
"Male",179,152,0.00474392185012952
